Fiscal Year,Work Location Borough,Regular Gross Paid,OT Hours,Total OT Paid
2020,BROOKLYN,48914.17,59.75,2029.12
2020,BRONX,41205.35,231,6437.45
2020,BROOKLYN,48914.17,52.25,1811.56
2020,BRONX,46972.69,69.75,2093.38
2020,MANHATTAN,49501.54,42,1215.85
2020,MANHATTAN,45547.13,1.5,42.22
2020,MANHATTAN,40687.43,330,9116.8
2020,BROOKLYN,41479.94,150,3838.38
2020,QUEENS,48186.05,59.5,2015.41
2020,BROOKLYN,41516.5,144,3686.14
2020,MANHATTAN,48360.7,60.75,1671.95
2020,MANHATTAN,48667.06,14,469.86
2020,MANHATTAN,46646.84,50,1688.25
2020,BROOKLYN,49807.3,3,82.23
2020,MANHATTAN,48914.17,1,27.68
2020,MANHATTAN,48914.17,18,598.19
2020,BRONX,48186.05,40.75,1283.47
2020,MANHATTAN,48914.17,17.75,508.87
2020,MANHATTAN,46972.69,34.75,1053.46
2020,BROOKLYN,38916.94,196.5,6121.67
